name,season,chapter,airdate,info,rating,total_votes,z_score
Big Bang Theory,3,3,5 Oct. 2009,The Gothowitz Deviation,8.2,"2,850",-0.1222
Big Bang Theory,3,4,12 Oct. 2009,The Pirate Solution,8.1,"2,777",-0.2584
Big Bang Theory,3,5,19 Oct. 2009,The Creepy Candy Coating Corollary,8.3,"2,837",0.0141
Big Bang Theory,3,6,2 Nov. 2009,The Cornhusker Vortex,7.6,"2,664",-0.9397
Big Bang Theory,3,7,9 Nov. 2009,The Guitarist Amplification,7.9,"2,671",-0.5309
Big Bang Theory,3,8,16 Nov. 2009,The Adhesive Duck Deficiency,9.0,"3,882",0.9678
Big Bang Theory,3,9,23 Nov. 2009,The Vengeance Formulation,8.4,"2,844",0.1503
Big Bang Theory,3,10,7 Dec. 2009,The Gorilla Experiment,8.6,"2,896",0.4228
Big Bang Theory,3,11,14 Dec. 2009,The Maternal Congruence,8.4,"2,774",0.1503
Big Bang Theory,3,12,11 Jan. 2010,The Psychic Vortex,8.4,"2,765",0.1503
Big Bang Theory,3,13,18 Jan. 2010,The Bozeman Reaction,8.1,"2,685",-0.2584
Big Bang Theory,3,14,1 Feb. 2010,The Einstein Approximation,8.5,"2,926",0.2866
Big Bang Theory,3,15,8 Feb. 2010,The Large Hadron Collision,8.1,"2,624",-0.2584
Big Bang Theory,3,16,1 Mar. 2010,The Excelsior Acquisition,8.4,"2,720",0.1503
Big Bang Theory,3,17,8 Mar. 2010,The Precious Fragmentation,8.5,"2,893",0.2866
Big Bang Theory,3,18,22 Mar. 2010,The Pants Alternative,8.5,"2,830",0.2866
Big Bang Theory,3,19,12 Apr. 2010,The Wheaton Recurrence,8.0,"2,630",-0.3947
Big Bang Theory,3,20,3 May 2010,The Spaghetti Catalyst,8.2,"2,613",-0.1222
Big Bang Theory,3,21,10 May 2010,The Plimpton Stimulation,8.2,"2,833",-0.1222
Big Bang Theory,3,22,17 May 2010,The Staircase Implementation,9.1,"3,783",1.1040
Big Bang Theory,3,23,24 May 2010,The Lunar Excitation,8.6,"2,874",0.4228
Big Bang Theory,4,1,23 Sep. 2010,The Robotic Manipulation,8.8,"3,285",0.6953
Big Bang Theory,4,2,30 Sep. 2010,The Cruciferous Vegetable Amplification,8.5,"2,926",0.2866
Big Bang Theory,4,3,7 Oct. 2010,The Zazzy Substitution,8.1,"2,725",-0.2584
Big Bang Theory,4,4,14 Oct. 2010,The Hot Troll Deviation,8.1,"2,722",-0.2584
Big Bang Theory,4,5,21 Oct. 2010,The Desperation Emanation,7.8,"2,592",-0.6672
Big Bang Theory,4,6,28 Oct. 2010,The Irish Pub Formulation,8.1,"2,642",-0.2584
Big Bang Theory,4,7,4 Nov. 2010,The Apology Insufficiency,8.1,"2,683",-0.2584
Big Bang Theory,4,8,11 Nov. 2010,The 21-Second Excitation,8.2,"2,646",-0.1222
Big Bang Theory,4,9,18 Nov. 2010,The Boyfriend Complexity,8.5,"2,788",0.2866
Big Bang Theory,4,10,9 Dec. 2010,The Alien Parasite Hypothesis,7.8,"2,579",-0.6672
Big Bang Theory,4,11,16 Dec. 2010,The Justice League Recombination,8.7,"3,014",0.5591
Big Bang Theory,4,12,6 Jan. 2011,The Bus Pants Utilization,7.7,"2,592",-0.8034
Big Bang Theory,4,13,20 Jan. 2011,The Love Car Displacement,8.3,"2,769",0.0141
Big Bang Theory,4,14,3 Feb. 2011,The Thespian Catalyst,7.9,"2,599",-0.5309
Big Bang Theory,4,15,10 Feb. 2011,The Benefactor Factor,7.8,"2,572",-0.6672
Big Bang Theory,4,16,17 Feb. 2011,The Cohabitation Formulation,8.0,"2,501",-0.3947
Big Bang Theory,4,17,24 Feb. 2011,The Toast Derivation,8.0,"2,536",-0.3947
Big Bang Theory,4,18,10 Mar. 2011,The Prestidigitation Approximation,8.2,"2,660",-0.1222
Big Bang Theory,4,19,31 Mar. 2011,The Zarnecki Incursion,8.2,"2,578",-0.1222
Big Bang Theory,4,20,7 Apr. 2011,The Herb Garden Germination,8.3,"2,565",0.0141
Big Bang Theory,4,21,28 Apr. 2011,The Agreement Dissection,8.3,"2,625",0.0141
Big Bang Theory,4,22,5 May 2011,The Wildebeest Implementation,7.9,"2,486",-0.5309
Big Bang Theory,4,23,12 May 2011,The Engagement Reaction,8.1,"2,513",-0.2584
Big Bang Theory,4,24,19 May 2011,The Roommate Transmogrification,8.6,"2,699",0.4228
Big Bang Theory,5,1,22 Sep. 2011,The Skank Reflex Analysis,8.1,"3,145",-0.2584
Big Bang Theory,5,2,22 Sep. 2011,The Infestation Hypothesis,8.1,"2,703",-0.2584
Big Bang Theory,5,3,29 Sep. 2011,The Pulled Groin Extrapolation,7.8,"2,573",-0.6672
Big Bang Theory,5,4,6 Oct. 2011,The Wiggly Finger Catalyst,8.0,"2,621",-0.3947
Big Bang Theory,5,5,13 Oct. 2011,The Russian Rocket Reaction,8.1,"2,594",-0.2584
Big Bang Theory,5,6,20 Oct. 2011,The Rhinitis Revelation,7.7,"2,533",-0.8034
Big Bang Theory,5,7,27 Oct. 2011,The Good Guy Fluctuation,8.6,"3,198",0.4228
Big Bang Theory,5,8,3 Nov. 2011,The Isolation Permutation,7.7,"2,533",-0.8034
Big Bang Theory,5,9,10 Nov. 2011,The Ornithophobia Diffusion,8.2,"2,653",-0.1222
Big Bang Theory,5,10,17 Nov. 2011,The Flaming Spittoon Acquisition,8.0,"2,592",-0.3947
Big Bang Theory,5,11,8 Dec. 2011,The Speckerman Recurrence,7.4,"2,521",-1.2121
Big Bang Theory,5,12,12 Jan. 2012,The Shiny Trinket Maneuver,7.8,"2,551",-0.6672
Big Bang Theory,5,13,19 Jan. 2012,The Recombination Hypothesis,8.2,"2,692",-0.1222
Big Bang Theory,5,14,26 Jan. 2012,The Beta Test Initiation,8.3,"2,708",0.0141
Big Bang Theory,5,15,2 Feb. 2012,The Friendship Contraction,7.8,"2,442",-0.6672
Big Bang Theory,5,16,9 Feb. 2012,The Vacation Solution,7.7,"2,424",-0.8034
Big Bang Theory,5,17,16 Feb. 2012,The Rothman Disintegration,7.9,"2,487",-0.5309
Big Bang Theory,5,18,23 Feb. 2012,The Werewolf Transformation,8.3,"2,659",0.0141
Big Bang Theory,5,19,8 Mar. 2012,The Weekend Vortex,8.3,"2,523",0.0141
Big Bang Theory,5,20,29 Mar. 2012,The Transporter Malfunction,8.2,"2,642",-0.1222
Big Bang Theory,5,21,5 Apr. 2012,The Hawking Excitation,8.6,"2,975",0.4228
Big Bang Theory,5,22,26 Apr. 2012,The Stag Convergence,7.8,"2,493",-0.6672
Big Bang Theory,5,23,3 May 2012,The Launch Acceleration,8.2,"2,453",-0.1222
Big Bang Theory,5,24,10 May 2012,The Countdown Reflection,8.6,"2,835",0.4228
Big Bang Theory,6,1,27 Sep. 2012,The Date Night Variable,7.7,"3,362",-0.8034
Big Bang Theory,6,2,4 Oct. 2012,The Decoupling Fluctuation,7.7,"2,590",-0.8034
Big Bang Theory,6,3,11 Oct. 2012,The Higgs Boson Observation,8.0,"2,596",-0.3947
Big Bang Theory,6,4,18 Oct. 2012,The Re-Entry Minimization,8.3,"2,760",0.0141
Big Bang Theory,6,5,25 Oct. 2012,The Holographic Excitation,8.1,"2,559",-0.2584
Big Bang Theory,6,6,1 Nov. 2012,The Extract Obliteration,7.9,"2,459",-0.5309
Big Bang Theory,6,7,8 Nov. 2012,The Habitation Configuration,7.7,"2,421",-0.8034
Big Bang Theory,6,8,15 Nov. 2012,The 43 Peculiarity,8.5,"2,862",0.2866
Big Bang Theory,6,9,29 Nov. 2012,The Parking Spot Escalation,8.3,"2,755",0.0141
Big Bang Theory,6,10,6 Dec. 2012,The Fish Guts Displacement,8.1,"2,585",-0.2584
Big Bang Theory,6,11,13 Dec. 2012,The Santa Simulation,7.9,"2,481",-0.5309
Big Bang Theory,6,12,3 Jan. 2013,The Egg Salad Equivalency,8.5,"2,834",0.2866
Big Bang Theory,6,13,10 Jan. 2013,The Bakersfield Expedition,8.5,"2,833",0.2866
Big Bang Theory,6,14,31 Jan. 2013,The Cooper/Kripke Inversion,7.9,"2,471",-0.5309
Big Bang Theory,6,15,7 Feb. 2013,The Spoiler Alert Segmentation,8.3,"2,562",0.0141
Big Bang Theory,6,16,14 Feb. 2013,The Tangible Affection Proof,8.0,"2,485",-0.3947
Big Bang Theory,6,17,21 Feb. 2013,The Monster Isolation,7.7,"2,352",-0.8034
Big Bang Theory,6,18,7 Mar. 2013,The Contractual Obligation Implementation,7.8,"2,422",-0.6672
Big Bang Theory,6,19,14 Mar. 2013,The Closet Reconfiguration,8.1,"2,551",-0.2584
Big Bang Theory,6,20,4 Apr. 2013,The Tenure Turbulence,8.1,"2,494",-0.2584
Big Bang Theory,6,21,25 Apr. 2013,The Closure Alternative,8.1,"2,436",-0.2584
Big Bang Theory,6,22,2 May 2013,The Proton Resurgence,8.0,"2,519",-0.3947
Big Bang Theory,6,23,9 May 2013,The Love Spell Potential,8.1,"2,550",-0.2584
Big Bang Theory,6,24,16 May 2013,The Bon Voyage Reaction,7.8,"2,416",-0.6672
Big Bang Theory,7,1,26 Sep. 2013,The Hofstadter Insufficiency,7.9,"2,808",-0.5309
Big Bang Theory,7,2,26 Sep. 2013,The Deception Verification,8.1,"2,743",-0.2584
Big Bang Theory,7,3,3 Oct. 2013,The Scavenger Vortex,8.8,"3,299",0.6953
Big Bang Theory,7,4,10 Oct. 2013,The Raiders Minimization,8.0,"2,491",-0.3947
Big Bang Theory,7,5,17 Oct. 2013,The Workplace Proximity,7.7,"2,369",-0.8034
Big Bang Theory,7,6,24 Oct. 2013,The Romance Resonance,8.5,"2,831",0.2866
Big Bang Theory,7,7,7 Nov. 2013,The Proton Displacement,7.8,"2,409",-0.6672
Big Bang Theory,7,8,14 Nov. 2013,The Itchy Brain Simulation,7.6,"2,403",-0.9397
Big Bang Theory,7,9,21 Nov. 2013,The Thanksgiving Decoupling,8.9,"3,366",0.8315
Big Bang Theory,7,10,5 Dec. 2013,The Discovery Dissipation,7.7,"2,272",-0.8034
Big Bang Theory,7,11,12 Dec. 2013,The Cooper Extraction,8.2,"2,545",-0.1222
Big Bang Theory,7,12,2 Jan. 2014,The Hesitation Ramification,7.5,"2,358",-1.0759
Big Bang Theory,7,13,9 Jan. 2014,The Occupation Recalibration,7.6,"2,337",-0.9397
Big Bang Theory,7,14,30 Jan. 2014,The Convention Conundrum,8.0,"2,509",-0.3947
Big Bang Theory,7,15,6 Feb. 2014,The Locomotive Manipulation,8.3,"2,711",0.0141
Big Bang Theory,7,16,27 Feb. 2014,The Table Polarization,7.7,"2,238",-0.8034
Big Bang Theory,7,17,6 Mar. 2014,The Friendship Turbulence,7.5,"2,216",-1.0759
Big Bang Theory,7,18,13 Mar. 2014,The Mommy Observation,7.5,"2,273",-1.0759
Big Bang Theory,7,19,3 Apr. 2014,The Indecision Amalgamation,8.2,"2,483",-0.1222
Big Bang Theory,7,20,10 Apr. 2014,The Relationship Diremption,8.1,"2,319",-0.2584
Big Bang Theory,7,21,24 Apr. 2014,The Anything Can Happen Recurrence,7.6,"2,191",-0.9397
Big Bang Theory,7,22,1 May 2014,The Proton Transmogrification,7.7,"2,305",-0.8034
Big Bang Theory,7,23,8 May 2014,The Gorilla Dissolution,7.9,"2,308",-0.5309
Big Bang Theory,7,24,15 May 2014,The Status Quo Combustion,8.1,"2,377",-0.2584
Big Bang Theory,8,1,22 Sep. 2014,The Locomotion Interruption,7.2,"2,860",-1.4846
Big Bang Theory,8,2,22 Sep. 2014,The Junior Professor Solution,7.6,"2,630",-0.9397
Big Bang Theory,8,3,29 Sep. 2014,The First Pitch Insufficiency,7.0,"2,554",-1.7571
Big Bang Theory,8,4,6 Oct. 2014,The Hook-up Reverberation,7.2,"2,401",-1.4846
Big Bang Theory,8,5,13 Oct. 2014,The Focus Attenuation,7.5,"2,444",-1.0759
Big Bang Theory,8,6,20 Oct. 2014,The Expedition Approximation,7.2,"2,343",-1.4846
Big Bang Theory,8,7,30 Oct. 2014,The Misinterpretation Agitation,7.8,"2,583",-0.6672
Big Bang Theory,8,8,6 Nov. 2014,The Prom Equivalency,8.0,"2,554",-0.3947
Big Bang Theory,8,9,13 Nov. 2014,The Septum Deviation,7.5,"2,260",-1.0759
Big Bang Theory,8,10,20 Nov. 2014,The Champagne Reflection,7.0,"2,342",-1.7571
Big Bang Theory,8,11,11 Dec. 2014,The Clean Room Infiltration,7.4,"2,227",-1.2121
Big Bang Theory,8,12,8 Jan. 2015,The Space Probe Disintegration,7.3,"2,145",-1.3484
Big Bang Theory,8,13,29 Jan. 2015,The Anxiety Optimization,7.5,"2,140",-1.0759
Big Bang Theory,8,14,5 Feb. 2015,The Troll Manifestation,8.0,"2,341",-0.3947
Big Bang Theory,8,15,19 Feb. 2015,The Comic Book Store Regeneration,8.1,"2,329",-0.2584
Big Bang Theory,8,16,26 Feb. 2015,The Intimacy Acceleration,7.9,"2,227",-0.5309
Big Bang Theory,8,17,5 Mar. 2015,The Colonization Application,7.6,"2,106",-0.9397
Big Bang Theory,8,18,12 Mar. 2015,The Leftover Thermalization,7.4,"2,076",-1.2121
Big Bang Theory,8,19,2 Apr. 2015,The Skywalker Incursion,7.6,"2,087",-0.9397
Big Bang Theory,8,20,9 Apr. 2015,The Fortification Implementation,7.5,"2,068",-1.0759
Big Bang Theory,8,21,16 Apr. 2015,The Communication Deterioration,7.1,"2,042",-1.6209
Big Bang Theory,8,22,23 Apr. 2015,The Graduation Transmission,7.3,"2,063",-1.3484
Big Bang Theory,8,23,30 Apr. 2015,The Maternal Combustion,7.5,"2,108",-1.0759
Big Bang Theory,8,24,7 May 2015,The Commitment Determination,8.0,"2,503",-0.3947
Big Bang Theory,9,1,21 Sep. 2015,The Matrimonial Momentum,6.8,"2,820",-2.0296
Big Bang Theory,9,2,28 Sep. 2015,The Separation Oscillation,7.4,"2,322",-1.2121
Big Bang Theory,9,3,5 Oct. 2015,The Bachelor Party Corrosion,7.8,"2,354",-0.6672
Big Bang Theory,9,4,12 Oct. 2015,The 2003 Approximation,7.5,"2,198",-1.0759
Big Bang Theory,9,5,19 Oct. 2015,The Perspiration Implementation,7.5,"2,118",-1.0759
Big Bang Theory,9,6,26 Oct. 2015,The Helium Insufficiency,7.2,"2,171",-1.4846
Big Bang Theory,9,7,5 Nov. 2015,The Spock Resonance,8.0,"2,231",-0.3947
Big Bang Theory,9,8,12 Nov. 2015,The Mystery Date Observation,8.0,"2,253",-0.3947
Big Bang Theory,9,9,19 Nov. 2015,The Platonic Permutation,7.9,"2,183",-0.5309
Big Bang Theory,9,10,10 Dec. 2015,The Earworm Reverberation,8.4,"2,548",0.1503
Big Bang Theory,9,11,17 Dec. 2015,The Opening Night Excitation,9.1,"4,025",1.1040
Big Bang Theory,9,12,7 Jan. 2016,The Sales Call Sublimation,7.5,"1,998",-1.0759
Big Bang Theory,9,13,14 Jan. 2016,The Empathy Optimization,7.5,"2,006",-1.0759
Big Bang Theory,9,14,4 Feb. 2016,The Meemaw Materialization,7.6,"2,022",-0.9397
Big Bang Theory,9,15,11 Feb. 2016,The Valentino Submergence,7.5,"1,989",-1.0759
Big Bang Theory,9,16,18 Feb. 2016,The Positive Negative Reaction,7.4,"2,062",-1.2121
Big Bang Theory,9,17,25 Feb. 2016,The Celebration Experimentation,7.5,"2,068",-1.0759
Big Bang Theory,9,18,10 Mar. 2016,The Application Deterioration,7.6,"1,960",-0.9397
Big Bang Theory,9,19,31 Mar. 2016,The Solder Excursion Diversion,7.5,"1,878",-1.0759
Big Bang Theory,9,20,7 Apr. 2016,The Big Bear Precipitation,7.5,"1,843",-1.0759
Big Bang Theory,9,21,21 Apr. 2016,The Viewing Party Combustion,7.5,"1,853",-1.0759
Big Bang Theory,9,22,28 Apr. 2016,The Fermentation Bifurcation,7.5,"1,785",-1.0759
Big Bang Theory,9,23,5 May 2016,The Line Substitution Solution,7.4,"1,795",-1.2121
Big Bang Theory,9,24,12 May 2016,The Convergence Convergence,7.8,"2,075",-0.6672
Big Bang Theory,10,0,28 Aug. 2017,Recap,7.6,100,-0.9397
Big Bang Theory,10,1,19 Sep. 2016,The Conjugal Conjecture,7.7,"2,539",-0.8034
Big Bang Theory,10,2,26 Sep. 2016,The Military Miniaturization,7.4,"1,996",-1.2121
Big Bang Theory,10,3,3 Oct. 2016,The Dependence Transcendence,7.3,"1,888",-1.3484
Big Bang Theory,10,4,10 Oct. 2016,The Cohabitation Experimentation,8.0,"2,108",-0.3947
Big Bang Theory,10,5,17 Oct. 2016,The Hot Tub Contamination,7.5,"1,865",-1.0759
Big Bang Theory,10,6,27 Oct. 2016,The Fetal Kick Catalyst,7.4,"1,893",-1.2121
Big Bang Theory,10,7,3 Nov. 2016,The Veracity Elasticity,8.0,"2,016",-0.3947
Big Bang Theory,10,8,10 Nov. 2016,The Brain Bowl Incubation,8.1,"2,109",-0.2584
Big Bang Theory,10,9,17 Nov. 2016,The Geology Elevation,7.5,"1,804",-1.0759
Big Bang Theory,10,10,1 Dec. 2016,The Property Division Collision,7.4,"1,798",-1.2121
Big Bang Theory,10,11,15 Dec. 2016,The Birthday Synchronicity,7.6,"1,849",-0.9397
Big Bang Theory,10,12,5 Jan. 2017,The Holiday Summation,7.3,"1,864",-1.3484
Big Bang Theory,10,13,19 Jan. 2017,The Romance Recalibration,7.0,"1,777",-1.7571
Big Bang Theory,10,14,2 Feb. 2017,The Emotion Detection Automation,7.3,"1,732",-1.3484
Big Bang Theory,10,15,9 Feb. 2017,The Locomotion Reverberation,7.3,"1,714",-1.3484
Big Bang Theory,10,16,16 Feb. 2017,The Allowance Evaporation,7.2,"1,647",-1.4846
Big Bang Theory,10,17,23 Feb. 2017,The Comic-Con Conundrum,7.5,"1,685",-1.0759
Big Bang Theory,10,18,9 Mar. 2017,The Escape Hatch Identification,7.2,"1,640",-1.4846
Big Bang Theory,10,19,30 Mar. 2017,The Collaboration Fluctuation,7.1,"1,677",-1.6209
Big Bang Theory,10,20,6 Apr. 2017,The Recollection Dissipation,7.2,"1,624",-1.4846
Big Bang Theory,10,21,13 Apr. 2017,The Separation Agitation,7.3,"1,664",-1.3484
Big Bang Theory,10,22,27 Apr. 2017,The Cognition Regeneration,6.8,"1,589",-2.0296
Big Bang Theory,10,23,4 May 2017,The Gyroscopic Collapse,7.1,"1,594",-1.6209
