ID SERVIÇO;PROCESSO;SEI;TIPO;ANALISTA;ORGAO RESPONSAVEL;ANALISE;ANO;VIA;UF;DATA FINALIZACAO;DESCRICAO SERVICO;QUANTITATIVO INICIAL;UNIDADE INICIAL;PRECO UNITARIO INICIAL;MES BASE INICIAL;ANO BASE INICIAL;PRECO TOTAL INICIAL;QUANTITATIVO FINAL;UNIDADE FINAL;PREÇO UNITARIO FINAL;MES BASE FINAL;ANO BASE FINAL;PRECO TOTAL FINAL;MODALIDADE;TIPO DE INDICE;INDICE INICIAL;INDICE FINAL;INDICE ATUAL;ECONOMIA ATUAL;PESO POR UF;VARIACAO FINAL X INICIAL ATUAL;VARIACAO PONDERADA ATUAL
11;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Piso com placa cimentícia de alta resistência, podotátil direcional, 25x25, E=3,5cm, assentado argamassa de cimento e areia peneirada traço 1:3;237;m²;R$ 86,71;Novembro;2016;R$ 26.448,67;237;m²;R$ 87,95;Novembro;2016;R$ 26.826,90;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 378,23;0,64%;1,43%;0,01%
12;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Sinalização visual para escadas (PNE – 3 x 20 cm);480;und;R$ 3,58;Novembro;2016;R$ 2.211,62;480;und;R$ 7,42;Novembro;2016;R$ 4.583,86;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 2.372,24;0,11%;107,26%;0,12%
13;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Sinalização em braile para corrimão (PNE – 3 x 10 cm).;240;und;R$ 7,99;Novembro;2016;R$ 2.468,00;240;und;R$ 8,93;Novembro;2016;R$ 2.758,35;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 290,35;0,07%;11,76%;0,01%
14;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Tubulação de drenagem urbana d=0,60m s/ berço – aquisição comercial;61,9;und;R$ 330,79;Novembro;2016;R$ 26.352,96;61,9;und;R$ 330,75;Novembro;2016;R$ 26.349,77;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 3,19;0,63%;-0,01%;0,00%
15;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Tubulação de drenagem urbana d=0,80m s/ berço – aquisição comercial;34,4;und;R$ 396,36;Novembro;2016;R$ 17.548,28;34,4;und;R$ 396,32;Novembro;2016;R$ 17.546,51;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 1,77;0,42%;-0,01%;0,00%
16;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 21.000 a 22.000 c/e.;286;m³;R$ 39,07;Novembro;2016;R$ 14.381,22;286;m³;R$ 20,70;Novembro;2016;R$ 7.619,43;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 6.761,79;0,18%;-47,02%;-0,09%
17;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 19.300 a 20.300m c/e.;800;m³;R$ 36,88;Novembro;2016;R$ 37.972,33;800;m³;R$ 19,39;Novembro;2016;R$ 19.964,30;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 18.008,03;0,48%;-47,42%;-0,23%
18;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Escavação, carga e transporte de material de 1ª categoria DMT 17.750 a 18.750 c/e.;123;m³;R$ 34,87;Novembro;2016;R$ 5.520,06;123;m³;R$ 18,20;Novembro;2016;R$ 2.881,13;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 2.638,93;0,07%;-47,81%;-0,03%
19;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Boca de lobo combinada – chapéu e grelha simples – BLC 02.;4;und;R$ 2.241,81;Novembro;2016;R$ 11.541,05;4;und;R$ 2.242,01;Novembro;2016;R$ 11.542,07;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 1,03;0,28%;0,01%;0,00%
20;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Estacas pré-moldadas centrifugadas D= 26 cm – cravada.;3800;m;R$ 163,81;Novembro;2016;R$ 801.143,58;3800;m;R$ 163,81;Novembro;2016;R$ 801.143,58;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;19,22%;0,00%;0,00%
21;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Lançamento de viga pré-moldada de até 500 kN com  utilização de guindaste.;108;und;R$ 2.549,84;Novembro;2016;R$ 354.423,93;108;und;R$ 2.549,84;Novembro;2016;R$ 354.423,93;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;8,50%;0,00%;0,00%
22;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Fornecimento, corte e colocação de cabos de aço Ø 15,2 mm – aço CP-190 RB.;7423,56;kg;R$ 8,88;Novembro;2016;R$ 84.842,12;7423,56;kg;R$ 8,88;Novembro;2016;R$ 84.842,12;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713; R$-   ;2,04%;0,00%;0,00%
23;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Piso com placa cimentícia de alta resistência, podotátil direcional, 25x25, E=3,5cm, assentado argamassa de cimento e areia peneirada traço 1:3;237;m²;R$ 86,71;Novembro;2016;R$ 26.448,67;237;m²;R$ 87,95;Novembro;2016;R$ 26.826,90;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 378,23;0,64%;1,43%;0,01%
24;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Sinalização visual para escadas (PNE – 3 x 20 cm);480;und;R$ 3,58;Novembro;2016;R$ 2.211,62;480;und;R$ 7,42;Novembro;2016;R$ 4.583,86;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 2.372,24;0,11%;107,26%;0,12%
25;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Sinalização em braile para corrimão (PNE – 3 x 10 cm).;240;und;R$ 7,99;Novembro;2016;R$ 2.468,00;240;und;R$ 8,93;Novembro;2016;R$ 2.758,35;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;R$ 290,35;0,07%;11,76%;0,01%
26;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Tubulação de drenagem urbana d=0,60m s/ berço – aquisição comercial;61,9;und;R$ 330,79;Novembro;2016;R$ 26.352,96;61,9;und;R$ 330,75;Novembro;2016;R$ 26.349,77;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 3,19;0,63%;-0,01%;0,00%
27;50009.000026/2018-83;2608542;PE;Fabrício Montalvão;FGV;AT n. 01/2019;2019;BR-174;RR;24/01/2019;Tubulação de drenagem urbana d=0,80m s/ berço – aquisição comercial;34,4;und;R$ 396,36;Novembro;2016;R$ 17.548,28;34,4;und;R$ 396,32;Novembro;2016;R$ 17.546,51;RODOVIÁRIO;IGP-DI;648,561;648,561;834,713;-R$ 1,77;0,42%;-0,01%;0,00%
28;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Dreno de talvegue DTV-01 (ver projeto específico Des. nº DR-70).;2175;m;R$ 114,84;Março;2018;R$ 316.057,56;2175;m;R$ 123,73;Março;2018;R$ 340.524,22;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 24.466,66;0,85%;7,74%;0,07%
29;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Sarjeta retangular (ver projeto específico Des. nº DR-71).;313;m;R$ 224,74;Março;2018;R$ 89.009,93;313;m;R$ 823,44;Março;2018;R$ 326.129,46;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 237.119,53;0,81%;266,40%;2,16%
30;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa especial – est. 55 + 00 para BSTC Ø 1,00 (ver projeto específico Des. nº DR-122 e DR-123).;1;und;R$ 7.863,39;Março;2018;R$ 9.950,01;1;und;R$ 7.863,39;Março;2018;R$ 9.950,01;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,02%;0,00%;0,00%
31;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa especial – est. 385 + 17 para BSTC Ø 1,50 (ver projeto específico Des. nº DR-124 e DR-125).;1;und;R$ 10.849,29;Março;2018;R$ 13.728,25;1;und;R$ 10.849,29;Março;2018;R$ 13.728,25;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,03%;0,00%;0,00%
32;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa especial – est. 407 + 12 (LE) para BSTC Ø 1,50 (ver projeto específico Des. nº DR-126 e DR-127).;1;und;R$ 9.807,13;Março;2018;R$ 12.409,54;1;und;R$ 9.807,13;Março;2018;R$ 12.409,54;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,03%;0,00%;0,00%
33;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa especial – est. 407 + 12 para BSTC Ø 1,50 (ver projeto específico Des. nº DR-126 e DR-128).;1;und;R$ 15.035,43;Março;2018;R$ 19.025,22;1;und;R$ 15.035,43;Março;2018;R$ 19.025,22;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,05%;0,00%;0,00%
34;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa especial – est. 407 + 12 (LD) para BSTC Ø 1,50 (ver projeto específico Des. nº DR-126 e DR-129).;1;und;R$ 9.717,07;Março;2018;R$ 12.295,58;1;und;R$ 9.717,07;Março;2018;R$ 12.295,58;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,03%;0,00%;0,00%
35;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Descida d’água especial para BDCC 3,0 x 3,0 – est 100 + 00 (ver projeto específico Des. nº DR-130).;32;m;R$ 3.409,10;Março;2018;R$ 138.039,52;32;m;R$ 3.409,10;Março;2018;R$ 138.039,52;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,34%;0,00%;0,00%
36;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Descida d’água especial para BDCC 3,0 x 3,0 – est 890 + 17 (ver projeto específico Des. nº DR-131).;14;m;R$ 4.206,59;Março;2018;R$ 74.519,85;14;m;R$ 4.206,59;Março;2018;R$ 74.519,85;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,19%;0,00%;0,00%
37;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Descida d’água especial para BSCC 2,0 x 2,0 – est 98 + 02 (ver projeto específico Des. nº DR-132).;15;m;R$ 1.619,91;Março;2018;R$ 30.746,51;15;m;R$ 1.614,91;Março;2018;R$ 30.651,61;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 94,90;0,08%;-0,31%;0,00%
38;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Canaleta retangular (ver projeto específico Des. nº DR-133).;375;m;R$ 591,16;Março;2018;R$ 280.511,09;375;m;R$ 591,16;Março;2018;R$ 280.511,09;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,70%;0,00%;0,00%
39;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Transposição de valeta (ver projeto específico Des. nº DR-134).;28;m;R$ 1.330,93;Março;2018;R$ 47.154,92;28;m;R$ 1.330,93;Março;2018;R$ 47.154,92;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,12%;0,00%;0,00%
40;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Remoção e assentamento de porteira.;12;und;R$ 187,04;Março;2018;R$ 2.840,07;12;und;R$ 187,04;Março;2018;R$ 2.840,07;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,01%;0,00%;0,00%
41;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Mata-burro em perfil metálico.;12;und;R$ 9.633,85;Março;2018;R$ 146.283,34;12;und;R$ 9.633,85;Março;2018;R$ 146.283,34;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,36%;0,00%;0,00%
42;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Abrigo para parada de ônibus.;6;und;R$ 12.225,27;Março;2018;R$ 92.816,13;6;und;R$ 10.729,76;Março;2018;R$ 81.461,99;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 11.354,14;0,20%;-12,23%;-0,02%
43;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Demolição e remoção de abrigo de parada de ônibus.;5;und;R$ 360,20;Março;2018;R$ 2.278,91;5;m³;R$ 635,20;Março;2018;R$ 4.018,78;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 1.739,87;0,01%;76,35%;0,01%
44;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Tela galvanizada para vedação de passarela – fornecimento e instalação;1988;m²;R$ 97,64;Março;2018;R$ 245.616,70;1988;m;R$ 97,25;Março;2018;R$ 244.635,64;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 981,06;0,61%;-0,40%;0,00%
45;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Tela antiofuscante;2360;m;R$ 68,49;Março;2018;R$ 204.528,06;2360;m;R$ 165,70;Março;2018;R$ 494.821,14;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 290.293,08;1,23%;141,93%;1,75%
46;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Cravação de estacas de eucalipto (diâmetro 0,10 e 0,12 m).;904;m;R$ 27,95;Março;2018;R$ 31.971,57;904;m;R$ 27,95;Março;2018;R$ 31.971,57;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,08%;0,00%;0,00%
47;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Furos a trado com diâmetro compatível.;302;m;R$ 20,21;Março;2018;R$ 7.723,02;302;m;R$ 20,22;Março;2018;R$ 7.726,84;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 3,82;0,02%;0,05%;0,00%
48;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Caixa de passagem pré-moldada tipo CEMIG ZB com tampa de concreto.;238;und;R$ 429,03;Março;2018;R$ 129.204,71;238;und;R$ 429,03;Março;2018;R$ 129.204,71;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,32%;0,00%;0,00%
49;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Duto corrugado “PEAD” – Ø 100 mm.;18850;m;R$ 30,22;Março;2018;R$ 720.807,92;18850;m;R$ 12,06;Março;2018;R$ 287.655,31;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 433.152,61;0,72%;-60,09%;-0,43%
50;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Eletroduto aço galvanizado, DN 4”. Ref: Carboinox ou equivalente.;1560;m;R$ 78,54;Março;2018;R$ 155.034,81;1560;m;R$ 78,54;Março;2018;R$ 155.034,81;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,39%;0,00%;0,00%
51;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Espaçador duplo para dutos formação 2 x 2.;80;und;R$ 13,89;Março;2018;R$ 1.406,07;80;und;R$ 13,89;Março;2018;R$ 1.406,07;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,00%;0,00%;0,00%
52;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Espaçador simples para dutos formação 1 x 2.;5080;und;R$ 2,57;Março;2018;R$ 16.520,02;5080;und;R$ 2,57;Março;2018;R$ 16.520,02;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,04%;0,00%;0,00%
53;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Espaçador simples para dutos formação 2 x 2.;80;und;R$ 6,94;Março;2018;R$ 702,53;80;und;R$ 6,94;Março;2018;R$ 702,53;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,00%;0,00%;0,00%
54;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Tampão/ terminal para duto corrugado “PEAD” – Ø 100 mm.;818;und;R$ 13,55;Março;2018;R$ 14.025,11;818;pç;R$ 9,81;Março;2018;R$ 10.153,97;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 3.871,14;0,03%;-27,60%;-0,01%
55;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Fornecimento e instalação de lona plástica preta, para impermeabilização, espessura 200 micras.;290186;m²;R$ 0,81;Março;2018;R$ 297.423,45;290186;m²;R$ 0,81;Março;2018;R$ 297.423,45;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,74%;0,00%;0,00%
56;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Serviço de limpeza do pavimento rígido com vassoura mecânica com escova de aço para aplicação de pintura horizontal nas faixas com largura 0,60 m.;35345,46;m²;R$ 0,05;Março;2018;R$ 2.236,23;35345,46;m²;R$ 0,05;Março;2018;R$ 2.236,23;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;0,01%;0,00%;0,00%
57;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Serviço de lavagem a jato de água pressurizada para retirada de impurezas na pista de pavimento rígido para aplicação da pintura horizontal com largura 0,60 m.;35345,46;m²;R$ 3,62;Março;2018;R$ 161.903,39;35345,46;m²;R$ 4,02;Março;2018;R$ 179.793,27;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;R$ 17.889,88;0,45%;11,05%;0,05%
58;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Execução de pintura mecânica de faixa com promotor de aderência para execução de pintura em pavimento rígido.;35345,46;m²;R$ 9,35;Março;2018;R$ 418.175,88;35345,46;m²;R$ 7,04;Março;2018;R$ 314.861,84;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 103.314,04;0,78%;-24,71%;-0,19%
59;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Junta de dilatação tipo isopor, espessura = 10 mm – fornecimento e aplicação.;37034;m;R$ 6,91;Março;2018;R$ 323.811,60;37034;m;R$ 2,52;Março;2018;R$ 118.090,48;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 205.721,12;0,29%;-63,53%;-0,19%
60;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Pintura das barras de transferência com fundo anticorrosivo zarcão, espessura da pintura de 1 mm.;73317;m;R$ 1,12;Março;2018;R$ 103.905,00;73317;m;R$ 1,03;Março;2018;R$ 95.555,49;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 8.349,51;0,24%;-8,04%;-0,02%
61;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Engraxamentos das barras de transferência, espessura de graxa de 2 mm.;73317;m;R$ 4,33;Março;2018;R$ 401.704,15;73317;m;R$ 4,27;Março;2018;R$ 396.137,81;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713;-R$ 5.566,34;0,99%;-1,39%;-0,01%
62;50606.001200/2018-76;2521300;AP;Gabriel Assunção;FGV;AT n. 04/2019;2019;BR-381;MG;28/01/2019;Catadióptricos – película refletiva.;17385;und;R$ 25,98;Março;2018;R$ 571.514,93;17385;und;R$ 25,98;Março;2018;R$ 571.514,93;RODOVIÁRIO;IGP-DI;659,665;659,665;834,713; R$-   ;1,42%;0,00%;0,00%
